created_at,date,time,timezone,username,name,place,tweet,language,mentions,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,retweet_id,reply_to
2020-12-08 08:24:31 UTC,2020-12-08,08:24:31,0,sofsof1_sofiane,Sofiane,,"@Wysuwa @Speedmaster_78 @DamienRieu @T_Bouhafs Oui, dans vos mots un peu de vérité, mais la France ne veut pas que nous avancions car à la fin elle veut que nous soyons un marché pour cela, il y a une histoire entre nous et il y a une culture et une langue après 132 ans, oui nous sommes indépendants et pleinement souverains,",fr,,1,0,0,[],[],https://twitter.com/sofsof1_sofiane/status/1336225130448629761,False,,,Wysuwa|Speedmaster_78|DamienRieu|T_Bouhafs
2020-12-08 08:24:07 UTC,2020-12-08,08:24:07,0,jo93836270,🇨🇵 Jonathan 🇨🇵,,"@T_Bouhafs ou à tes racailles islamo-nazies des banlieues dont tu es issu. Mais méfie-tou mon pote, tes propos font de toi une cible. Ne reste jamais seul, on ne sait jamais certains pourraient reconnaître ta sale gueule de délinquant et te le faire payer.  A bon entendeur 🖕🖕🖕",fr,t_bouhafs,0,0,0,[],[],https://twitter.com/Jo93836270/status/1336225029927866369,False,,,
2020-12-08 08:23:36 UTC,2020-12-08,08:23:36,0,rainbowshark5,Rainbowshark,,@Maz30262734 @T_Bouhafs Il est l'un des plus grand Streamer de France et donc possède une très grande visibilité,fr,,0,0,0,[],[],https://twitter.com/Rainbowshark5/status/1336224897761222657,False,,,Maz30262734|T_Bouhafs
2020-12-08 08:22:45 UTC,2020-12-08,08:22:45,0,annetessier7,Anne Tessier,,@Sba74755902 @T_Bouhafs C'est bien de savoir de temps en temps de quoi on parle. Un taux de non recours de 88%.  https://t.co/JHQh7HM9pG,fr,,1,0,0,[],[],https://twitter.com/AnneTessier7/status/1336224685563011072,False,,,Sba74755902|T_Bouhafs
2020-12-08 08:18:46 UTC,2020-12-08,08:18:46,0,fondation86,lost reader,,"@BibiH26095523 @RedwaneTelha @T_Bouhafs Ben oui, c'est sa faute à cette feignasse. C'est pas comme si en plus de la pandémie, on avait une crise économique, et des gens qui perdent leurs emplois. Ou des employeurs qui refusent d'engager des mamans.",fr,,1,0,0,[],[],https://twitter.com/fondation86/status/1336223681706594311,False,,,BibiH26095523|RedwaneTelha|T_Bouhafs
2020-12-08 08:18:29 UTC,2020-12-08,08:18:29,0,inconitau,Lφøɲɛ£-ßžⓗ¤,,"@T_Bouhafs Un journaliste qui dit la vérité, que ça fait du bien.",fr,,0,0,0,[],[],https://twitter.com/inconitau/status/1336223610797690881,False,,,T_Bouhafs
2020-12-08 08:17:04 UTC,2020-12-08,08:17:04,0,hetmasteen2,HetMasteen,,@zizouninho @SeutreD @AltayKorean @Lanoiredu91 @DamienRieu @T_Bouhafs  https://t.co/Zs5ZEzlf7E,und,,0,0,0,[],[],https://twitter.com/HetMasteen2/status/1336223256945291264,False,,,zizouninho|SeutreD|AltayKorean|Lanoiredu91|DamienRieu|T_Bouhafs
2020-12-08 08:15:47 UTC,2020-12-08,08:15:47,0,vie_ecole,École de la vie,,"@FrancetteJB @T_Bouhafs Contrôler une racaille qui sent le shit et pas une mamie de 80 ans, c'est un contrôle au faciès si t'es d'extrême gauche, ou juste normal si t'as un peu de jugeote.",fr,,0,0,0,[],[],https://twitter.com/vie_ecole/status/1336222932314566657,False,,,FrancetteJB|T_Bouhafs
2020-12-08 08:14:13 UTC,2020-12-08,08:14:13,0,speedmaster_78,Hanibal Levy,,@sofsof1_sofiane @Wysuwa @DamienRieu @T_Bouhafs Pourquoi vous les algériens vous montez sur des bateaux de fortune « Harragas »pour fuir l‘Algérie? C‘est la faute des Français ça? Ou des voleurs qui vous gouvernent? Quel 🤡!,fr,,1,0,0,[],[],https://twitter.com/Speedmaster_78/status/1336222539111129088,False,,,sofsof1_sofiane|Wysuwa|DamienRieu|T_Bouhafs
2020-12-08 08:14:00 UTC,2020-12-08,08:14:00,0,hetmasteen2,HetMasteen,,"@zizouninho @SeutreD @AltayKorean @Lanoiredu91 @DamienRieu @T_Bouhafs Sinon il n'ont pas une gendarmerie en Algérie ? Des réseaux routiers, des infrastructures créées par les méchants colons ? je ne dis pas que la colonisation était une bonne chose, je dis qu'il ne faut pas la voir de façon simpliste...",fr,,1,0,0,[],[],https://twitter.com/HetMasteen2/status/1336222485038174209,False,,,zizouninho|SeutreD|AltayKorean|Lanoiredu91|DamienRieu|T_Bouhafs
2020-12-08 08:12:26 UTC,2020-12-08,08:12:26,0,hetmasteen2,HetMasteen,,"@zizouninho @SeutreD @AltayKorean @Lanoiredu91 @DamienRieu @T_Bouhafs Wahou tu compares les colons aux nazis pas mal ! Pour l'Algérie demande aux Kabyles 😉 sinon ""Le Đại Việt doit à plusieurs reprises lutter pour conquérir ou défendre son territoire, face au royaume de Champā puis à l'Empire mongol""",fr,,0,0,0,[],[],https://twitter.com/HetMasteen2/status/1336222088282116096,False,,,zizouninho|SeutreD|AltayKorean|Lanoiredu91|DamienRieu|T_Bouhafs
2020-12-08 08:12:08 UTC,2020-12-08,08:12:08,0,wolfearyt,ISSOUKA 🇫🇷,,"@zizouninho @SeutreD @AltayKorean @Lanoiredu91 @DamienRieu @T_Bouhafs Allume ton cerveau stp et met toi dans le contexte du colonialisme, c'était pas mal vu à l'époque au contraire.",fr,,1,0,0,[],[],https://twitter.com/wolfearYT/status/1336222015276150784,False,,,zizouninho|SeutreD|AltayKorean|Lanoiredu91|DamienRieu|T_Bouhafs
